0,0.19509
0.19509,0.382683
0.382683,0.55557
0.55557,0.707107
0.707107,0.83147
0.83147,0.92388
0.92388,0.980785
0.980785,1
1,0.980785
0.980785,0.92388
0.92388,0.83147
0.83147,0.707107
0.707107,0.55557
0.55557,0.382683
0.382683,0.19509
0.19509,1.22465e-16
1.22465e-16,-0.19509
-0.19509,-0.382683
-0.382683,-0.55557
-0.55557,-0.707107
-0.707107,-0.83147
-0.83147,-0.92388
-0.92388,-0.980785
-0.980785,-1
-1,-0.980785
-0.980785,-0.92388
-0.92388,-0.83147
-0.83147,-0.707107
-0.707107,-0.55557
-0.55557,-0.382683
-0.382683,-0.19509
-0.19509,-2.44929e-16

-0.0585271,0.136563
-0.329404,0.560514
-0.587623,0.962924
-0.823259,1.32833
-1.02726,1.64269
-1.19178,1.89392
-1.3105,2.07237
-1.37886,2.17118
-1.39424,2.18655
-1.35603,2.11789
-1.26571,1.96785
-1.12675,1.74218
-0.944489,1.44956
-0.725932,1.10123
-0.479479,0.710588
-0.214599,0.292635
0.0585271,-0.136563
0.329404,-0.560514
0.587623,-0.962924
0.823259,-1.32833
1.02726,-1.64269
1.19178,-1.89392
1.3105,-2.07237
1.37886,-2.17118
1.39424,-2.18655
1.35603,-2.11789
1.26571,-1.96785
1.12675,-1.74218
0.944489,-1.44956
0.725932,-1.10123
0.479479,-0.710588
0.214599,-0.292635

0.304341,-0.132661
-0.36497,0.177834
-1.02026,0.481495
-1.63633,0.766652
-2.18953,1.02235
-2.65858,1.23876
-3.02547,1.40756
-3.27608,1.52227
-3.4008,1.57848
-3.39483,1.57403
-3.2584,1.50909
-2.99675,1.38616
-2.61993,1.20996
-2.14243,0.98726
-1.5826,0.726621
-0.961957,0.438058
-0.304341,0.132661
0.36497,-0.177834
1.02026,-0.481495
1.63633,-0.766652
2.18953,-1.02235
2.65858,-1.23876
3.02547,-1.40756
3.27608,-1.52227
3.4008,-1.57848
3.39483,-1.57403
3.2584,-1.50909
2.99675,-1.38616
2.61993,-1.20996
2.14243,-0.98726
1.5826,-0.726621
0.961957,-0.438058

0.595903,-0.0817912
0.0693465,-0.283587
-0.459875,-0.474484
-0.971423,-0.647147
-1.44564,-0.794941
-1.8643,-0.912185
-2.21132,-0.994375
-2.47336,-1.03835
-2.64035,-1.04243
-2.70587,-1.00644
-2.6674,-0.931775
-2.52643,-0.821304
-2.28837,-0.679271
-1.96237,-0.511133
-1.56096,-0.323354
-1.09956,-0.123147
-0.595903,0.0817912
-0.0693465,0.283587
0.459875,0.474484
0.971423,0.647147
1.44564,0.794941
1.8643,0.912185
2.21132,0.994375
2.47336,1.03835
