64

-1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1

-0.999723,-0.999733
-0.994985,-1.01303
-1.04451,-1.03199
-1.16809,-0.599676
-0.600696,0.511358
0.675388,1.12433
1.14262,1.02127
0.996357,0.983755
0.990761,1.00434
1.00359,0.999359
0.999162,1
1.00014,1.00003
0.999988,0.999985
0.999998,1
1,0.999999
1,1
0.999723,0.999733
0.994985,1.01303
1.04451,1.03199
1.16809,0.599676
0.600696,-0.511358
-0.675388,-1.12433
-1.14262,-1.02127
-0.996357,-0.983755
-0.990761,-1.00434
-1.00359,-0.999359
-0.999162,-1
-1.00014,-1.00003
-0.999988,-0.999985
-0.999998,-1
-1,-0.999999
-1,-1
-0.999723,-0.999733
-0.994985,-1.01303
-1.04451,-1.03199
-1.16809,-0.599676
-0.600696,0.511358
0.675388,1.12433
1.14262,1.02127
0.996357,0.983755
0.990761,1.00434
1.00359,0.999359
0.999162,1
1.00014,1.00003
0.999988,0.999985
0.999998,1
1,0.999999
1,1
0.999723,0.999733
0.994985,1.01303
1.04451,1.03199
1.16809,0.599676
0.600696,-0.511358
-0.675388,-1.12433
-1.14262,-1.02127
-0.996357,-0.983755
-0.990761,-1.00434
-1.00359,-0.999359
-0.999162,-1
-1.00014,-1.00003
-0.999988,-0.999985
-0.999998,-1
-1,-0.999999
-1,-1

-1.00013,-1.00009
-1.00003,-0.999971
-1.00005,-0.999941
-0.999879,-0.999001
-0.995636,-1.00382
-1.00271,-1.0396
-1.08859,-1.00563
-1.10592,-0.520745
-0.522624,0.432959
0.551133,1.07539
1.12872,1.08241
1.05888,0.980256
0.975191,0.994727
0.999585,1.00381
1.00273,0.99917
0.999041,0.999964
1.00013,1.00009
1.00003,0.999971
1.00005,0.999941
0.999879,0.999001
0.995636,1.00382
1.00271,1.0396
1.08859,1.00563
1.10592,0.520745
0.522624,-0.432959
-0.551133,-1.07539
-1.12872,-1.08241
-1.05888,-0.980256
-0.975191,-0.994727
-0.999585,-1.00381
-1.00273,-0.99917
-0.999041,-0.999964
-1.00013,-1.00009
-1.00003,-0.999971
-1.00005,-0.999941
-0.999879,-0.999001
-0.995636,-1.00382
-1.00271,-1.0396
-1.08859,-1.00563
-1.10592,-0.520745
-0.522624,0.432959
0.551133,1.07539
1.12872,1.08241
1.05888,0.980256
0.975191,0.994727
0.999585,1.00381
1.00273,0.99917
0.999041,0.999964
1.00013,1.00009
1.00003,0.999971
1.00005,0.999941
0.999879,0.999001
0.995636,1.00382
1.00271,1.0396
1.08859,1.00563
1.10592,0.520745
0.522624,-0.432959
