4
16

0, 0.107711, 0.307439, 0.494343, 0.585097
0.585097, 0.669043, 0.806081, 0.9095, 0.948985
0.948985, 0.977427, 0.999966, 0.980798, 0.954086
0.954086, 0.916272, 0.815789, 0.681283, 0.598472
0.598472, 0.508698, 0.323185, 0.124192, 0.0165919
0.0165919, -0.0912012, -0.291608, -0.479853, -0.571561
-0.571561, -0.65662, -0.796151, -0.902477, -0.943622
-0.943622, -0.973787, -0.99969, -0.983899, -0.958924
-0.958924, -0.922792, -0.825273, -0.693334, -0.611682
-0.611682, -0.522913, -0.338842, -0.140638, -0.0331792
-0.0331792, 0.0746659, 0.275697, 0.46523, 0.557868
0.557868, 0.644015, 0.786002, 0.895206, 0.938
0.938, 0.969879, 0.99914, 0.986729, 0.963499
0.963499, 0.929058, 0.834529, 0.705195, 0.624724
0.624724, 0.536983, 0.354405, 0.157046, 0.0497574
0.0497574, -0.05811, -0.25971, -0.450479, -0.544021

-0.0134874, 0.0942909, 0.294576, 0.482573, 0.574106
0.574106, 0.658957, 0.798025, 0.90381, 0.944646
0.944645, 0.974489, 0.999763, 0.98334, 0.958039
0.958039, 0.921592, 0.823516, 0.691095, 0.609224
0.609223, 0.520265, 0.335919, 0.137565, 0.0300763
0.0300758, -0.07776, -0.278679, -0.467974, -0.560442
-0.560442, -0.646386, -0.787917, -0.896585, -0.939072
-0.939071, -0.970631, -0.999264, -0.98622, -0.962663
-0.962662, -0.927905, -0.832815, -0.702992, -0.622297
-0.622296, -0.534363, -0.351501, -0.15398, -0.0466566
-0.046656, 0.0612076, 0.262706, 0.453247, 0.546624
0.546624, 0.633637, 0.777591, 0.889113, 0.93324
0.933239, 0.966506, 0.99849, 0.988829, 0.967022
0.967021, 0.933963, 0.841885, 0.714695, 0.635199
0.635198, 0.548314, 0.366986, 0.170353, 0.063224
0.0632234, -0.0446384, -0.246661, -0.438395, -0.532655

-0.0269721, 0.0808535, 0.281659, 0.470714, 0.56301
0.563011, 0.648751, 0.789824, 0.897955, 0.940134
0.940134, 0.971373, 0.999378, 0.985702, 0.961819
0.961817, 0.926744, 0.831093, 0.700781, 0.619865
0.619862, 0.531738, 0.348593, 0.150914, 0.0435562
0.0435538, -0.0643047, -0.2657, -0.456011, -0.54922
-0.549221, -0.636035, -0.779539, -0.890529, -0.93435
