4
48

1, 1, 1, 1, 1
1, 1, 1, 1, 1
1, 1, 1, 1, 1
1, 1, 1, 1, 1
1, 1, 1, 1, 1
1, 1, 1, 1, 1
1, 1, 1, 1, 1
1, 1, 1, 1, 1
1, 1, 1, 1, 1
1, 1, 1, 1, 1
1, 1, 1, 1, 1
1, 1, 1, 1, 1
1, 1, 1, 1, 1
1, 1, 1, 1, 1
1, 1, 1, 1, 1
1, 1, -1, -1, -1
-1, -1, -1, -1, -1
-1, -1, -1, -1, -1
-1, -1, -1, -1, -1
-1, -1, -1, -1, -1
-1, -1, -1, -1, -1
-1, -1, -1, -1, -1
-1, -1, -1, -1, -1
-1, -1, -1, -1, -1
-1, -1, -1, -1, -1
-1, -1, -1, -1, -1
-1, -1, -1, -1, -1
-1, -1, -1, -1, -1
-1, -1, -1, -1, -1
-1, -1, -1, -1, -1
-1, -1, 1, 1, 1
1, 1, 1, 1, 1
1, 1, 1, 1, 1
1, 1, 1, 1, 1
1, 1, 1, 1, 1
1, 1, 1, 1, 1
1, 1, 1, 1, 1
1, 1, 1, 1, 1
1, 1, 1, 1, 1
1, 1, 1, 1, 1
1, 1, 1, 1, 1
1, 1, 1, 1, 1
1, 1, 1, 1, 1
1, 1, 1, 1, 1
1, 1, 1, 1, 1
1, 1, -1, -1, -1
-1, -1, -1, -1, -1
-1, -1, -1, -1, -1

-1.3172, -0.324213, -0.773786, -1.96896, -0.972655
-1.09161, -0.8521, -0.771866, -1.1494, -0.931615
-1.37645, -0.905706, -0.978262, -0.876515, -1.50946
-0.819936, -0.850783, 0.686795, 1.27151, 0.733313
0.686288, 0.743601, 0.929913, 0.922521, 1.36394
1.0989, 1.05749, 0.955762, 1.05787, 0.864053
1.31322, 0.919655, 1.03609, 0.939924, 1.18995
0.992457, 0.984469, 1.01285, 0.989795, 1.03748
1.06998, 1.03619, 0.954455, 1.03498, 1.00934
1.04364, 0.969145, 1.00967, 1.00493, 0.955437
0.980831, 1.0062, 1.02224, 0.976707, 0.975756
0.932395, 1.05313, 0.930476, 1.09328, 0.910267
1.07359, 0.915356, 1.01274, 0.932573, 1.07004
0.896204, 1.07107, 0.948589, 0.997288, 1.11774
1.18112, 1.09129, 1.04716, 0.919224, 0.865709
0.811848, 0.99242, 1.06158, 0.870245, 0.982074
0.984406, 1.03361, 1.19879, 1.21292, 1.15037
1.1069, 0.772826, 1.18807, 0.80704, -0.320456
0.272749, -0.402722, -0.51846, -1.16908, -0.956744
-1.5119, -1.14392, -0.925862, -1.01022, -1.04949
-0.90736, -1.10685, -0.959415, -0.979264, -1.03019
-1.14036, -0.933094, -1.06112, -0.939206, -1.03922
-0.638582, -1.01869, -1.00848, -1.18003, -0.679884
-1.29901, -0.863833, -1.09596, -0.902229, -1.44961
-0.906888, -0.939683, -0.77623, -1.18306, -0.979879
-1.26822, -0.951856, -1.03278, -0.947235, -1.00644
-1.06727, -1.2414, -0.910671, -0.796702, -1.16009
-0.757659, -1.14351, -0.916883, -1.0911, -0.656363
-1.28861, -0.89793, -1.23147, -0.892561, -0.99013
-0.770269, -0.989106, -1.04092, -0.942062, -0.848977
-1.01786, -1.16708, -1.09233, -0.933141, -1.00576
-1.07218, -0.946444, -1.0048, -1.13291, -0.389867
-0.795217, -0.428225, -1.3248, -1.30193, -1.3842
-1.26163, -0.932722, 0.162569, 1.28105, 1.32244
1.28509, 0.970019, 0.617861, 0.960943, 1.25593
0.727805, 1.13026, 0.935822, 1.06809, 1.09685
1.03997, 0.820789, 1.03659, 1.02106, 0.986574
0.90775, 0.991206, 1.0138, 0.98926, 1.08436
0.895737, 1.02256, 0.980268, 1.00347, 0.933363
1.14761, 0.945657, 1.03222, 0.977818, 0.995455
0.954387, 1.03942, 1.00274, 0.987244, 0.93916
0.990223, 1.03286, 0.948486, 1.07563, 0.924904
1.03974, 0.926148, 1.01918, 0.930855, 1.05963
0.882078, 1.07702, 0.940762, 1.0192, 1.02989
1.26195, 1.03931, 1.0842, 0.907394, 0.941829
0.722533, 1.02627, 1.02339, 0.930136, 0.915534
0.996929, 0.98129, 1.16701, 1.22099, 1.19921
1.20045, 0.750175, 1.20742, 0.754982, 0.0263569

-2.43464, -0.619648, -1.2459, -1.33334, -2.58279
-1.22368, -0.434687, -1.20771, -0.761071, -0.966104
-0.839963, -1.02303, -0.870716, -1.18083, -0.835287
-1.37314, -0.981993, -1.0024, -0.992776, -0.706259
-0.874644, -0.754821, -0.786932, -0.829944, -1.17567
-0.85203, -1.14474, -0.923559, -0.956276, 0.056534
-0.347823, 0.30545, 0.599688, 1.09871, 0.885835
1.22562, 1.15055, 0.915998, 1.0147, 1.20704
0.812387, 1.09086, 0.902724, 0.92539, 0.746615
0.92158, 1.10963, 0.935179, 1.04516, 0.991001
0.905364, 0.999889, 1.05586, 0.851435, 0.994526
0.806738, 1.07902, 0.984176, 0.985293, 0.886569
1.20929, 0.998851, 1.11378, 0.946287, 1.25117
0.980574, 0.934961, 1.05965, 0.979342, 0.831284
0.856424, 0.922039, 1.03783, 1.1282, 1.0199
1.19704, 0.933343, 1.00733, 1.05282, 1.23711
0.835024, 0.905379, 0.708222, 1.12148, 0.825199
1.17045, 1.04145, 0.978153, 0.970599, 1.09533
1.45423, 1.14124, 1.05814, 0.747027, 1.29986
0.730091, 1.02653, 1.00817, 1.02682, 0.715812
0.830394, 0.962106, 1.07048, 1.16239, 1.25018
1.14524, 0.881772, -0.814977, -1.12871, -1.00446
-1.0924, -1.03944, -1.07411, -0.785662, -0.957099
-0.520237, -1.09377, -0.977606, -1.01583, -0.950956
-1.25729, -1.05976, -1.00417, -0.91964, -1.0647
-0.850208, -1.02923, -0.979248, -1.02943, -0.699118
-0.958336, -1.09646, -1.19272, -0.853183, -0.988178
-0.838057, -1.02618, -0.957074, -1.09251, -0.798883
-1.01644, -0.788032, -1.04862, -1.149, -1.14176
-1.23, -0.920461, -1.00158, -1.00861, -1.15348
-0.798147, -1.03919, -0.893373, -0.951718, -0.710574
-1.15958, -1.06782, -0.945056, -1.01482, -1.29242
-0.804937, -0.970838, -0.881018, -1.11023, -0.942154
-1.23506, -0.907172, -1.09786, -0.846433, -1.22282
-0.87297, -1.05286, -1.081, -0.91595, -0.714118
-0.859169, -1.14916, -0.865399, -1.2176, -0.882532
-0.671067, -0.32422, 0.513655, 0.846847, 0.847981
1.00677, 0.994657, 1.08066, 0.840162, 0.885494
1.07743, 1.32012, 1.12731, 0.869903, 0.97254
0.885987, 1.02821, 0.978004, 1.00784, 0.778722
1.38706, 1.03177, 1.04052, 1.0252, 1.34071
0.61197, 1.06284, 0.966115, 1.0186, 1.06507
1.0782, 0.889818, 0.979379, 1.12162, 1.12322
1.0682, 0.922975, 1.06999, 0.920936, 1.11901
0.87959, 1.02394, 0.965775, 1.03044, 0.937499
1.0975, 1.00077, 0.990106, 1.04786, 0.929677
0.940895, 0.935783, 0.941558, 0.9722, 1.03866
1.03483, 1.04022, 0.981741, 1.00726, 1.0448

-3.37915, -1.37333, -0.68591, -0.743456, -1.23176
-0.304861, -0.994052, -1.19748, -0.691779, -0.955849
-0.986543, -1.15378, -1.27664, -1.11711, -1.39338
-1.16059, -0.924663, -0.947481, -0.987565, -0.804936
-1.03964, -0.839997, -0.868441, -0.986807, -0.996265
-0.973856, -0.976495, -0.955601, -1.01845, -1.11067
-0.82907, -1.07979, -0.969552, -1.10499, -0.938975
-1.26326, -0.788235, -0.94324, -0.919798, -1.21825
-0.776889, -1.09319, -1.01959, -1.00408, -0.835464
-1.03418, -0.82077, 0.580964, 1.28984, 0.903842
0.759436, 0.791187, 0.91694, 1.09242, 0.898398
1.2243, 0.884031, 1.08869, 0.926973, 1.21984
1.05921, 1.04637, 0.861001, 1.10987, 0.81123
0.968125, 1.02647, 0.964615, 1.03043, 0.95925
1.28062, 0.987612, 1.10247, 0.911871, 1.01366
0.729181, 1.03648, 0.984656, 0.989006, 1.07229
0.835645, 1.07942, 0.997374, 1.04633, 1.08734
0.965446, 0.980355, 0.988392, 1.03283, 0.663145
1.00515, 1.0057, 1.14126, 0.839511, 1.17478
0.978044, 1.09098, 0.899368, 1.09716, 1.00227
0.958867, 0.966771, 0.967032, 0.980146, 0.762384
0.978084, 1.00588, 1.06086, 0.83279, 1.30789
0.899267, 1.15201, 1.0105, 1.13611, 0.865011
1.26151, 0.81706, 1.18397, 0.757701, 0.148496
0.211495, -0.0625923, -0.49331, -1.21181, -1.27026
-1.60121, -1.20104, -0.860944, -1.09038, -0.938894
-0.908145, -0.876791, -1.00174, -1.081, -0.897704
-1.10763, -0.996845, -0.996604, -0.973059, -1.29368
-0.905347, -1.00528, -0.838663, -1.05964, -0.886461
-1.28706, -0.932781, -1.09522, -0.838074, -1.25291
-0.866253, -1.11671, -1.09339, -0.968144, -0.593466
-0.797072, -1.03623, -1.00787, -1.02111, -0.924116
-0.901256, -0.871509, -1.02012, -1.01396, -1.22042
-0.879886, -1.04824, -0.963548, -1.05891, -0.906078
-1.29676, -0.934194, -1.06339, -0.95121, -1.0421
-0.670518, -0.994184, -1.07319, -0.860064, -1.28936
-0.995229, -1.25211, -0.953164, -1.0623, -0.992338
-1.10288, -0.838521, -1.10245, -1.01115, -0.454288
-1.04216, -0.723144, -1.25164, -1.24642, -1.61216
-0.888615, -0.982253, 0.0814296, 1.2846, 1.2274
1.0242, 0.997079, 0.72142, 0.954974, 0.998287
1.22201, 0.97521, 1.01311, 1.0558, 0.984893
0.752391, 0.81469, 0.964843, 1.0354, 0.8644
1.30374, 0.988014, 0.979814, 1.04861, 0.825281
0.960112, 1.07362, 1.02433, 0.856682, 0.882191
1.04412, 1.0256, 0.987113, 1.00205, 0.880009
1.16086, 1.14436, 0.952524, 1.0256, 1.17368
1.00475, 0.953036, 1.01953, 0.987015, 1.00982

-2.15841, -1.22365, -0.485453, -0.225643, -2.22758
-1.1471, -1.28633, -0.769406, -1.19009, -0.982085
-1.17668, -1.23573, -0.87453, -0.652732, -0.539352
-0.978972, -1.12122, -0.978755, -0.868993, -1.37659
-0.903732, -1.2975, -1.06641, -1.04186, -0.906977
-1.02156, -0.810074, -1.11129, -1.03392, -0.781239
-1.03479, -0.905108, -0.992801, -0.936169, -1.0621
-0.824818, -0.978661, -0.895919, -0.958784, -0.994633
-1.08406, -0.973068, -1.04979, -0.949083, -0.950015
-1.0019, -0.935577, -1.12809, -0.802249, -0.816338
-0.709505, -0.960768, -0.873181, -0.993889, -1.02047
-1.01696, -0.972397, -1.01684, -0.94693, 0.0565243
0.0690616, 0.32028, 0.520931, 0.774618, 1.21689
0.950454, 1.23242, 0.933376, 0.955186, 0.892506
1.06737, 1.07125, 1.12097, 0.997018, 1.11674
1.04646, 0.977188, 0.986491, 1.04675, 0.976687
0.843961, 0.932438, 0.827489, 1.05255, 1.02699
1.23249, 1.04267, 0.975901, 0.996826, 1.08108
1.06525, 1.00412, 0.984018, 0.945371, 0.783793
1.05709, 0.973051, 1.08159, 0.888301, 1.17441
1.06947, 1.01549, 0.958482, 1.16874, 0.856755
0.981336, 0.939018, 1.04609, 1.0089, 0.978473
0.840044, 0.928961, 1.00407, 0.948103, 1.00398
0.893037, 1.06801, 0.953303, 1.075, 0.745823
1.03832, 0.914352, 1.19266, 1.05143, 1.08315
